Ticker,Buy/Sell,Date,Price
CPAY,Buy,2024-02-09,268.12
SNA,Buy,2024-02-09,266.05
MRNA,Buy,2024-02-09,93.36
FOX,Buy,2024-02-08,27.37
FOXA,Buy,2024-02-08,29.75
KHC,Buy,2024-02-08,36.44
TAP,Buy,2024-02-08,59.73
OMC,Buy,2024-02-08,86.56
KR,Buy,2024-02-07,45.05
LW,Buy,2024-02-07,101.13
CBRE,Buy,2024-02-06,83.26
ENPH,Buy,2024-02-06,97.15
LYV,Buy,2024-02-06,87.5
JKHY,Buy,2024-02-06,162.94
MCD,Buy,2024-02-06,282.97
EA,Buy,2024-02-06,135.47
YUM,Buy,2024-02-06,126
CZR,Buy,2024-02-06,42.74
SPG,Buy,2024-02-06,137.49
XRAY,Buy,2024-02-06,33.44
JNJ,Buy,2024-02-05,156.61
GEN,Buy,2024-02-05,21.23
AFL,Buy,2024-02-02,76.91
TECH,Buy,2024-02-02,66.68
IP,Buy,2024-02-02,34.02
MET,Buy,2024-02-02,65.6
CHRW,Buy,2024-02-01,77.53
VTR,Buy,2024-02-01,46.24
MKTX,Buy,2024-02-01,223.42
FDX,Buy,2024-02-01,241.39
AOS,Buy,2024-02-01,78.3
MAA,Buy,2024-02-01,126.11
PSA,Buy,2024-02-01,282.61
TER,Buy,2024-02-01,97.13
ZBRA,Buy,2024-02-01,239.55
BLK,Buy,2024-02-01,776.49
GRMN,Buy,2024-02-01,120.04
UPS,Buy,2024-01-31,144.81
DOC,Buy,2024-01-31,18.75
PODD,Buy,2024-01-31,192.46
INTC,Buy,2024-01-29,43.71
MOH,Buy,2024-01-26,351.04
DGX,Buy,2024-01-25,127.32
UDR,Buy,2024-01-25,37.08
PM,Buy,2024-01-25,91.45
LIN,Buy,2024-01-25,400.72
DD,Buy,2024-01-25,64.59
ESS,Buy,2024-01-25,236.89
AMT,Buy,2024-01-25,199.39
TDY,Buy,2024-01-25,419.67
KMB,Buy,2024-01-25,118.15
EQR,Buy,2024-01-25,59.36
WELL,Buy,2024-01-25,88.49
DHI,Buy,2024-01-24,144.67
EIX,Buy,2024-01-24,67.34
MNST,Buy,2024-01-24,55.47
LMT,Buy,2024-01-24,439.52
MMM,Buy,2024-01-24,80.8
ADM,Buy,2024-01-23,52.23
CNP,Buy,2024-01-23,27.38
KVUE,Buy,2024-01-23,20.59
SRE,Buy,2024-01-23,71.72
O,Buy,2024-01-23,55.8
PPG,Buy,2024-01-22,141.71
ZTS,Buy,2024-01-22,190.11
DLTR,Buy,2024-01-22,130.73
HRL,Buy,2024-01-22,30.6
CPT,Buy,2024-01-19,96.21
AEP,Buy,2024-01-19,78.24
GM,Buy,2024-01-19,34.59
ARE,Buy,2024-01-19,122.63
PSX,Buy,2024-01-19,127.98
NTRS,Buy,2024-01-19,81.32
XEL,Buy,2024-01-19,59.67
D,Buy,2024-01-19,45.56
DFS,Buy,2024-01-19,97.49
PPL,Buy,2024-01-19,25.97
PNC,Buy,2024-01-19,147
FRT,Buy,2024-01-19,99.86
CVX,Buy,2024-01-19,141.73
EXR,Buy,2024-01-19,147
F,Buy,2024-01-19,10.94
KMI,Buy,2024-01-19,17.38
CVS,Buy,2024-01-19,73.25
SWK,Buy,2024-01-18,93.5
PAYC,Buy,2024-01-18,194.32
BXP,Buy,2024-01-18,66.93
COF,Buy,2024-01-18,124.92
EMN,Buy,2024-01-18,86.08
IPG,Buy,2024-01-18,31.74
HSIC,Buy,2024-01-18,72.48
REG,Buy,2024-01-18,62.39
CAT,Buy,2024-01-18,280.02
FMC,Buy,2024-01-18,55.35
AMCR,Buy,2024-01-18,9.46
STT,Buy,2024-01-18,75.03
TRMB,Buy,2024-01-18,49.45
LNT,Buy,2024-01-18,49.29
UAL,Buy,2024-01-18,38.05
GEHC,Buy,2024-01-18,72.75
INVH,Buy,2024-01-18,33.03
CF,Buy,2024-01-18,75.2
IVZ,Buy,2024-01-18,16.77
SCHW,Buy,2024-01-18,63.23
WY,Buy,2024-01-18,32.48
PLD,Buy,2024-01-18,126.79
