,Ticker,Buy Date,Buy Price,Buy P/E Ratio,Buy Fwd P/E Ratio,Buy P/B Ratio,Buy RSI,Buy Upper BB,Buy Bollinger %b,Buy Lower BB,Buy vol,Buy Z Score,Buy MACD,Buy VWAP,Buy OBV,Buy Stoch,Buy Awesome Oscillator,Buy Ultimate Oscillator,Buy TSI,Buy Acum/Dist,Sell Date,Sell Price,Sell P/E Ratio,Sell Fwd P/E Ratio,Sell P/B Ratio,Sell RSI,Sell Upper BB,Sell Bollinger %b,Sell Lower BB,Sell vol,Sell Z Score,Sell MACD,Sell VWAP,Sell OBV,Sell Stoch,Sell Awesome Oscillator,Sell Ultimate Oscillator,Sell TSI,Sell Acum/Dist,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable
0,AES,2023-08-07,19.8,53.79412,8.79327,7.42289,21.21384285800248,22.130540073462132,-0.11790864651783792,19.544459926537865,0.6465200367310664,-2.4090514005954504,-0.23237913419406886,21.13838694245784,-8673100,-10.299003322259088,-0.5822647058823556,-7.596670547110214,-7.856934592261111,-1146679831.8832924,2023-11-06,16.63,53.79412,8.79327,7.42289,76.61839472880266,16.26561402384118,0.9900488843829747,11.989385976158813,1.0690570119205924,1.9105622779935678,0.3925826207918386,14.702780575717016,-95270200,77.74480712166174,1.0484411764705879,39.15042695609311,12.83804204350057,-1909349069.8778212,-3.1700000000000017,-16.01,91,-3.1700000000000017,-16.01,No
1,AES,2024-01-12,18.18,53.79412,8.79327,7.42289,39.9927549399226,19.59019407375755,0.12782077208146037,18.036805926242444,0.38834703687877675,-1.4510217575727127,-0.18959798992390425,18.865328070186294,-78203400,27.272727272727273,0.17908823529412032,16.49927304257999,10.987924418897773,-2126415658.9271307,2024-03-28,17.33,53.79412,8.79327,7.42289,88.59257595046691,17.50275365944374,1.1621620209086838,14.564246340556258,0.7346268297218711,2.581582816296013,0.2786376500627087,15.96488042382527,-32202700,98.45679012345677,0.6827058823529413,68.02969917665129,9.610877356440183,-2198607932.9244003,-0.8500000000000014,-4.68,76,-4.020000000000003,-20.3,No
0,AFL,2024-02-02,76.91,10.69023,12.018785,2.1883962,19.79876296461542,87.51142058347857,-0.12072158077411137,77.40157941652141,2.5274602917392914,-2.4200182372759933,-0.790056514498819,81.12892571856287,44495900,11.330935251798602,-0.5959411764705891,16.094972690444667,-7.417210577751378,-830719645.0634141,2024-03-07,82.35,10.69023,12.018785,2.1883962,74.53179296647481,82.3851100152117,0.9952543678862099,76.88288998478828,1.3755550076058567,1.9308569888620946,0.40511419837863505,80.18314589509154,59106800,86.31346578366468,0.09958823529412086,59.4711607310844,5.2849558033856585,-838360185.9799073,5.439999999999998,7.07,34,5.439999999999998,7.07,Yes
0,A,2023-08-17,122.0,35.178997,24.203611,6.980489,22.73402820769246,130.01567073110522,-0.04562856781032115,120.51232926889473,2.3758353655526236,-2.1272517756399414,-0.7527936389455907,124.89708607122289,-9853800,-1.6632016632017748,1.474941176470594,10.59685034928917,4.920725009453725,-104617084.16515099,2023-11-22,123.87,35.178997,24.203611,6.980489,86.83557386132716,121.88721103520635,1.0820497647214289,96.73878896479368,6.287105517603166,2.2692477420736834,1.8918897171617302,114.03496431625321,1529800,91.45940872829654,8.21970588235294,64.41942622487609,21.291242568407636,-157797067.75013834,1.8700000000000045,1.53,97,1.8700000000000045,1.53,Yes
0,APD,2023-08-04,285.77,22.933971,17.845123,3.5820942,23.545565170567258,305.55456638795545,-0.013813307982009354,278.8714336120446,6.6707831939777025,-2.0032130578106546,-2.3963311684638557,295.8553726921415,4526300,-9.687623566627094,1.9705882352941444,-4.979753354380611,5.300298716706663,-206534451.95964083,2023-08-31,296.48,22.933971,17.845123,3.5820942,81.51230498596763,289.14513674927406,1.051952530309719,274.7978632507259,3.586818374637045,2.1519071204103137,1.2518717545770288,286.234858057285,9726400,52.92981326464897,-0.8596176470588262,12.554650819733235,0.3021457565975346,-239074582.4171456,10.710000000000036,3.75,27,10.710000000000036,3.75,Yes
0,ABNB,2023-08-14,133.56,22.466852,32.5972,12.709799,21.21547290402765,156.13253251107736,0.026298761657003476,132.32846748892266,5.951016255538675,-1.8468274204042077,-2.437207472368599,143.2350478224364,27155200,6.623655913978583,-3.18100000000004,42.123894988703384,1.0836925420842674,76260727.56219164,2023-09-06,140.78,22.466852,32.5972,12.709799,78.91564261729839,141.6924397072909,1.0167019380920281,120.2595602927091,5.358219853645453,2.0144750112588863,1.7213131668077655,133.02437615848302,39619800,88.07471264367824,-1.6787941176470724,63.974093738585296,-1.3992436692991015,78254355.34629071,7.219999999999999,5.41,23,7.219999999999999,5.41,Yes
1,ABNB,2023-10-23,116.48,22.466852,32.5972,12.709799,37.97471077991773,139.15524454674465,0.17857984165298169,116.08175545325534,5.768372273372329,-1.2531264726737275,-0.8684539318551492,124.65710533661961,-65538200,28.09053975623913,-12.167058823529402,39.1946098459249,-26.242292450093714,23331590.08449401,2023-11-16,127.12,22.466852,32.5972,12.709799,63.540136194179446,127.45910632943468,0.9365889410028545,111.62489367056533,3.95855316471734,1.702137048469103,1.6130986549742286,120.17041393344662,-59596700,69.52054794520548,0.39620588235295884,53.819324429431106,-3.009160146667036,19042953.112457506,10.64,9.13,24,17.86,13.37,Yes
0,AKAM,2023-10-23,103.84,30.55966,14.675307,3.5387197,21.626932999941204,108.98812641700952,-0.13138691289915183,104.04987358299049,1.2345632085047624,-2.4615993568127448,-0.5208692232628036,106.56056728705948,26197100,3.030303030303146,0.145764705882371,35.02047900396914,3.3570216451653185,418221.08857679635,2023-12-14,117.65,30.55966,14.675307,3.5387197,83.04307707724467,118.06102115854603,1.0536979451566055,111.28197884145399,1.694760579273006,2.1587120002338973,0.00968104837971473,115.61275129257909,48819800,79.37984496124035,4.158588235294104,56.44567176879577,41.96024909346123,10086888.20267954,13.810000000000002,13.3,52,13.810000000000002,13.3,Yes
0,ALB,2023-09-22,172.15,9.6676655,14.13129,1.6104336,9.299419540109824,203.96319648932052,0.0005110972506320539,166.70980351067948,9.313348244660261,-1.9473662450449483,-1.5221304286953572,184.03330229924393,-13865400,-1.3073713490959629,-11.709117647058832,7.646759607927863,-35.632550281959254,-166682076.900955,2023-12-14,143.5,9.6676655,14.13129,1.6104336,80.88689636090153,139.66067120106362,1.2205033886516905,111.1363287989364,7.131085600531805,2.809039341570396,3.2446623383233324,126.13673004727283,-27473300,90.88676671214186,7.43567647058822,59.846893935582024,2.0762504900530208,-227757453.0402081,-28.650000000000006,-16.64,83,-28.650000000000006,-16.64,No
1,ALB,2024-01-12,128.79,9.6676655,14.13129,1.6104336,17.223459806989894,156.76678271805824,-0.029819859476267044,126.15221728194174,7.653641359029126,-2.065618084044304,-2.495849097963155,139.92464970400655,-34638000,0.0,-3.0954411764705867,34.234080683207736,-3.462134369045934,-244134306.24198708,2024-02-28,130.66,9.6676655,14.13129,1.6104336,77.30968086090098,128.27617013526003,1.170439928607533,106.35682986473995,5.479835067630019,2.613856041874411,2.212101534239056,118.9926391835024,-23082400,90.65544729849418,4.164323529411746,50.320715013581896,1.8729864671975152,-257473771.29185426,1.8700000000000045,1.45,47,-26.78,-15.56,Yes
