,Ticker,Buy/Sell,Date,Price
3,BBY,Sell,2024-02-28,79.42
5,MU,Sell,2024-02-28,90.46
3,NCLH,Sell,2024-02-28,19.06
3,ALB,Sell,2024-02-28,130.66
3,HSIC,Sell,2024-02-26,79.5
3,DOW,Sell,2024-02-26,56.14
3,D,Sell,2024-02-26,47.45
3,BLK,Sell,2024-02-23,817.06
3,UAL,Sell,2024-02-23,45.11
3,DAL,Sell,2024-02-23,41.97
5,JNJ,Sell,2024-02-23,160.88
1,BMY,Sell,2024-02-22,50.58
3,AEE,Sell,2024-02-22,70.94
3,KMI,Sell,2024-02-22,17.25
5,CNP,Sell,2024-02-22,28.08
3,BG,Sell,2024-02-22,92.63
5,EXC,Sell,2024-02-22,36.03
3,DTE,Sell,2024-02-22,108.22
5,PEG,Sell,2024-02-22,60.55
5,EQT,Sell,2024-02-22,36.48
1,MRO,Sell,2024-02-22,23.37
5,CTRA,Sell,2024-02-22,25.81
5,EQR,Sell,2024-02-22,61.4
3,GRMN,Sell,2024-02-22,134.77
1,DVN,Sell,2024-02-22,43.69
5,DFS,Sell,2024-02-21,121.45
3,SYF,Sell,2024-02-21,40.08
5,PPL,Sell,2024-02-20,26.58
5,KR,Sell,2024-02-20,48.26
5,EPAM,Sell,2024-02-20,308.53
3,SPG,Sell,2024-02-20,149.1
3,BIO,Sell,2024-02-20,337.3
3,CBRE,Sell,2024-02-16,93.66
5,WFC,Sell,2024-02-16,51.94
3,TRGP,Sell,2024-02-16,93.54
3,OXY,Sell,2024-02-16,60.38
5,AEP,Sell,2024-02-16,81.27
3,LIN,Sell,2024-02-16,432.27
5,LYV,Sell,2024-02-16,93.9
3,ZBRA,Sell,2024-02-16,282.41
5,YUM,Sell,2024-02-15,134.0
5,WELL,Sell,2024-02-15,93.65
3,MOH,Sell,2024-02-15,401.2
3,HAS,Sell,2024-02-15,52.8
5,CRL,Sell,2024-02-15,242.08
5,ES,Sell,2024-02-15,58.27
3,CME,Sell,2024-02-15,214.4
3,IQV,Sell,2024-02-15,241.95
5,LYB,Sell,2024-02-13,95.82
3,FANG,Sell,2024-02-13,167.31
7,CF,Sell,2024-02-13,78.46
3,EBAY,Sell,2024-02-13,42.49
3,FSLR,Sell,2024-02-13,150.0
3,KMX,Sell,2024-02-13,73.52
5,NTAP,Sell,2024-02-13,88.94
3,EA,Sell,2024-02-12,140.41
3,NXPI,Sell,2024-02-12,234.0
7,ENPH,Sell,2024-02-12,123.5
3,ETSY,Sell,2024-02-12,78.21
3,MGM,Sell,2024-02-09,46.67
3,RL,Sell,2024-02-09,170.55
3,JKHY,Sell,2024-02-09,175.0
5,F,Sell,2024-02-08,12.87
