Ticker,Buy Date,Buy Price,Buy P/E Ratio,Buy Fwd P/E Ratio,Buy P/B Ratio,Buy RSI,Buy Upper BB,Buy Bollinger %b,Buy Lower BB,Buy vol,Buy Z Score,Buy MACD,Buy VWAP,Buy OBV,Buy Stoch,Buy Awesome Oscillator,Buy Ultimate Oscillator,Buy TSI,Buy Acum/Dist,Sell Date,Sell Price,Sell P/E Ratio,Sell Fwd P/E Ratio,Sell P/B Ratio,Sell RSI,Sell Upper BB,Sell Bollinger %b,Sell Lower BB,Sell vol,Sell Z Score,Sell MACD,Sell VWAP,Sell OBV,Sell Stoch,Sell Awesome Oscillator,Sell Ultimate Oscillator,Sell TSI,Sell Acum/Dist,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable,Returns,Returns %,Cumulative Returns %
HPE,2022-04-06,15.7,12.44138,8.8,1.0948596,18.435551134362726,17.82588140178823,-0.059145974364771384,15.667118598211772,0.5396907008941146,-2.1799523283445006,-0.16824611348040747,16.822051678122257,14312600,4.5662100456620855,-0.38008823529411373,37.24924352915806,1.276267798430736,62859202.09911712,2022-05-18,16.55,12.44138,8.8,1.0948596,45.95282352734091,16.516425152766967,0.4821031962854641,15.054574847233036,0.365462576383483,-0.0697745860939955,0.07516664505815912,15.867239455417195,63258100,42.54143646408836,0.10349999999999682,48.94218704630538,0.29787542755515306,83716890.07835725,0.8500000000000014,5.41,42,0.8500000000000014,5.41,Yes,0.8500000000000014,5.414012738853512,222.98
NRG,2022-05-02,36.22,0.0,0.0,0.0,40.991140173491274,41.09162691984376,0.19890359678294214,35.73337308015624,1.3395634599218804,-1.1738898880473358,-0.33713836647764905,38.23066842727419,-13295300,17.89473684210531,-1.3352058823529447,40.83217719813324,-10.864780461215346,-14529122.958405398,2022-05-18,45.23,0.0,0.0,0.0,88.21872752952429,45.91688133476451,0.9997174079761534,33.78911866523549,3.0319406673822558,1.9482571224258274,0.7311131164693643,41.16606608151931,28688000,98.41584158415839,3.924500000000009,70.01938907387517,28.341237864630074,12416662.733005354,9.009999999999998,24.88,16,9.009999999999998,24.88,Yes,9.009999999999998,24.875759249033678,228.4
FDX,2022-04-07,203.72,14.988137,11.69366,2.3592567,21.776300340199313,240.5199406629229,0.025591681171802712,202.3340593370771,9.54647033146145,-1.8495841276339995,-2.250754748033642,221.900843047709,-10482100,10.764872521246469,-5.534676470588238,29.260548479036,-4.240602487196368,-7319858.486238999,2022-05-18,217.22,14.988137,11.69366,2.3592567,41.353616597034815,217.36726802467007,0.38054527960370554,194.9847319753299,5.595634012335037,-0.46572023728773504,1.1714009167838209,207.43340604179255,-16023200,36.19528619528617,3.343147058823547,48.3164906980165,0.36738867372516637,-7614426.905620817,13.5,6.63,41,13.5,6.63,Yes,13.5,6.6267425878656985,253.27
AMD,2022-04-12,98.78,367.3889,36.202553,5.73597,16.12814645598617,127.17601522776114,-0.016229460374798756,95.20098477223887,7.993757613880566,-2.0126329540019485,-2.036637515291074,110.2671661554894,306602600,1.6092693916961696,-10.444294117647075,40.04396944031041,-13.450504443329256,75393246.05667613,2022-05-18,100.0,367.3889,36.202553,5.73597,55.37564567986322,100.82280521297436,0.7736857395451427,81.34619478702565,4.869152606487179,1.0670234473813829,1.6749264931532917,93.05808628260063,381763700,62.1002386634845,-0.6302352941176679,50.74101320759991,-4.722773669566465,58737368.36167239,1.2199999999999989,1.24,36,1.2199999999999989,1.24,Yes,1.2199999999999989,1.2350678274954432,259.9
CF,2022-04-26,96.42,10.809402,13.945902,2.8002896,22.50187734908974,113.05674569052009,0.057876737218240076,93.66025430947992,4.849122845260043,-1.7237138069558984,-2.218607309395459,103.74424616749529,64601200,20.370370370370388,-2.0313235294117646,42.773370120854835,8.551567659856541,50767882.71522984,2022-05-18,107.83,10.809402,13.945902,2.8002896,50.60849569631897,107.5894089277001,0.6623084859386006,90.0955910722999,4.373454463850053,0.6327949731443423,0.7600721636826624,99.77254876877595,73384700,56.89655172413793,1.737235294117653,55.63218552007604,5.591604797206389,54733995.13631913,11.409999999999997,11.83,22,11.409999999999997,11.83,Yes,11.409999999999997,11.83364447210122,261.13
HOLX,2022-04-26,72.06,36.175358,17.387245,3.8468907,21.299506080880462,80.70215910521449,-0.1994505775823791,72.10284089478552,2.1498295526072457,-2.726960373621314,-0.8430656446548821,76.3749102307726,18463700,1.7769002961501175,-0.2013823529411667,40.16370003617508,-1.939588526813099,12133485.390246794,2022-05-18,78.94,36.175358,17.387245,3.8468907,64.4553327688048,78.85771939011778,0.8703537094000947,69.45128060988222,2.3516096950588907,1.4439045761439446,0.5754482694388833,74.69123435030794,39065500,75.95936794582386,1.2905000000000086,57.78610808163189,7.953181195212915,17933586.524070602,6.8799999999999955,9.55,22,6.8799999999999955,9.55,Yes,6.8799999999999955,9.547599222869824,272.97
PFE,2022-04-22,48.95,76.675674,10.354014,1.7994419,14.899246422055981,55.79990730140427,-0.05375294470214868,48.42309269859573,1.844203650702135,-2.158926427937684,-0.6428124675314726,52.105668129595735,-278276800,2.7315914489311632,-1.8112941176470514,33.120968144995786,-7.6509078144500124,16904436.65933448,2022-05-23,52.58,76.675674,10.354014,1.7994419,75.34631603145009,52.42569747843512,1.1079498620751622,47.51730252156489,1.227098739217555,2.3702249110406286,0.4362626233658198,50.08724397451279,-106259500,86.66666666666669,0.7159705882352867,60.96582896190639,5.2421539835063165,146223908.22401872,3.6299999999999955,7.42,31,3.6299999999999955,7.42,Yes,3.6299999999999955,7.415730337078642,282.52
USB,2022-05-02,49.06,13.308868,9.958811,1.3980533,25.292316614913148,54.433302802675094,0.04611505981312451,48.50869719732491,1.4811514013375453,-1.769569267282955,-0.23129073682550016,51.09921373230546,-63038900,16.583747927031506,-3.7230882352941137,39.71080597014775,-27.461944754632782,-13776442.260114273,2022-05-24,50.61,13.308868,9.958811,1.3980533,73.96436900340201,50.885395374242236,1.0652050830265696,47.84760462575777,0.7594476871211155,2.203575082760256,0.3808001383142805,49.255560556491595,-37419700,94.11764705882351,-0.77320588235294,64.00107383888839,-11.885826799269342,10116754.841951393,1.5499999999999972,3.16,22,1.5499999999999972,3.16,Yes,1.5499999999999972,3.1593966571544985,289.93
WEC,2022-05-02,100.41,19.454977,15.697896,2.2088895,25.339165080900102,106.36469209162539,-0.023819983750989013,99.7993079083746,1.6413460458126947,-2.042226262128827,-0.8018688353325585,103.02404462434525,4952800,15.191387559808735,1.4143235294117602,34.148065186711385,11.157913015414003,-9631273.521081094,2022-05-24,105.47,19.454977,15.697896,2.2088895,82.41606119193156,106.12477609529346,1.2899255673823673,98.14022390470656,1.9961380476467216,3.079696821192992,0.4793528065064173,102.31715670835683,10756500,98.76265466816649,0.9691176470588232,68.90256430832979,14.60074178978089,-3857407.0919556394,5.060000000000002,5.04,22,5.060000000000002,5.04,Yes,5.060000000000002,5.039338711283739,293.09
ED,2022-05-02,93.61,12.59362,16.214287,1.4823521,19.928313306470173,100.15414754145823,-0.12986157460591097,92.84285245854178,1.8278237707291125,-2.4556524933525483,-0.9146707514209647,96.12430636431772,-393300,12.81741233373643,0.15567647058824718,36.01527961426459,6.123257897340472,-10175121.773575062,2022-05-24,97.79,12.59362,16.214287,1.4823521,84.74910052668127,98.54064895397501,1.2563915656667923,90.745351046025,1.9488244769875036,2.948957213880915,0.5022944607118822,95.0480413903374,11512400,99.05063291139237,0.5980294117646991,66.27238681676597,12.480329139881114,-3716379.1886433545,4.180000000000007,4.47,22,4.180000000000007,4.47,Yes,4.180000000000007,4.465334900117516,298.13
