Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Carris	Jim		C	IL10	2024	8/7/2024	10062641
	Carris	Jim		X	IL10	2024	5/15/2024	8220335
Hon.	Carter	Earl Leroy		P	GA01	2024	6/12/2024	20025257
Hon.	Carter	Earl Leroy		P	GA01	2024	6/28/2024	20025349
Hon.	Carter	Earl Leroy		P	GA01	2024	7/24/2024	20025499
Dr.	Casey	Michael Arthur		W	MN04	2024	4/29/2024	7950
Hon.	Casten	Sean		P	IL06	2024	1/16/2024	20023805
Hon.	Casten	Sean		P	IL06	2024	8/9/2024	20025384
Hon.	Casten	Sean		P	IL06	2024	8/27/2024	20025700
	Castillo	Jose		X	FL09	2024	5/17/2024	30022169
Hon.	Castor	Kathy		P	FL14	2024	3/28/2024	20024754
Hon.	Castor	Kathy		P	FL14	2024	7/15/2024	20025475
	Castro	Dustin		W	CO04	2024	2/1/2024	7917
	Catala	Ryan Joshua		W	TX12	2024	4/19/2024	7933
Mrs.	Centonze	Lana		C	TX18	2024	5/5/2024	10059791
	Cerezo Swaffar	Darlene		C	FL23	2024	7/31/2024	10061625
	Cerezo Swaffar	Darlene		X	FL23	2024	5/17/2024	30022012
	Chalifoux	Thomas E.	Jr.	C	FL09	2024	7/11/2024	10060503
	Chalifoux	Thomas E.	Jr.	X	FL09	2024	5/14/2024	30021480
	Chappelle-Nadal	Maria Ms		C	MO01	2024	6/26/2024	8220531
	Chappelle-Nadal	Maria Ms		X	MO01	2024	5/17/2024	30022178
	Chappelle-Nadal	Maria Ms		X	MO01	2024	6/18/2024	30022313
	Chaudhry	Melissa		C	WA09	2024	7/3/2024	10061008
	Chaudhry	Melissa		X	WA09	2024	5/17/2024	30021680
	Chaudhry-Ahmad	Jamil O.		C	OR01	2024	4/14/2024	10057006
	Chen	Anita S.		C	CA17	2024	8/11/2024	10059962
	Chen	Anita S.		X	CA17	2024	5/14/2024	30021199
	Cheng	Austin Franklin		W	NY03	2024	4/24/2024	7946
	Cherny	Andrei		X	AZ01	2024	4/23/2024	30019824
	Choharis	Peter Charles		C	MD06	2024	4/14/2024	10056997
	Chowdhury	Mohammed Mohiuddin		C	NY06	2024	5/15/2024	10061385
	Christian	Jerrad Shane		C	OH12	2024	4/18/2024	10057696
Hon.	Chu	Judy		P	CA28	2024	1/21/2024	20024347
Dr.	Chu	Weiming David		W	CA47	2024	4/19/2024	7935
	Cisneros	Gilbert		C	CA31	2024	7/31/2024	10057757
	Cisneros	Gilbert		X	CA31	2024	4/23/2024	30019836
	Clahchischilliage	Sharon E.		C	NM03	2024	6/1/2024	10061837
	Clahchischilliage	Sharon E.		X	NM03	2024	5/17/2024	30022173
	Clancy	Mike		C	VA10	2024	5/16/2024	10061854
Hon.	Clark	Katherine M.		P	MA05	2024	2/12/2024	20024435
Hon.	Clark	Katherine M.		P	MA05	2024	3/5/2024	20024588
Hon.	Clark	Katherine M.		P	MA05	2024	4/4/2024	20024795
	Clatterbuck	Thomas		W	IL13	2024	5/2/2024	7953
	Cleveland	Scott		C	ID02	2024	2/6/2024	10056732
Mr.	Coester	C. Mark		C	VT00	2024	5/10/2024	10060476
	Cohen	Seth Alan		C	IL09	2024	6/21/2024	10062332
Hon.	Cohen	Steve		P	TN09	2024	1/4/2024	20024188
Hon.	Cohen	Steve		P	TN09	2024	2/28/2024	20024540
	Cohn	Joseph		C	NJ03	2024	3/28/2024	10056902
	Cohn	Joseph		X	NJ03	2024	2/21/2024	30019609
Mrs.	Coleman	Octavia		D	GA13	2024	2/5/2024	40003599
	Collier	Matt		C	MI08	2024	7/5/2024	10062399
	Collier	Matt		X	MI08	2024	5/15/2024	8220339
Hon.	Collins	Michael A.		P	GA10	2024	1/9/2024	20024275
Hon.	Collins	Michael A.		P	GA10	2024	6/14/2024	20025282
Hon.	Collins	Michael A.		P	GA10	2024	7/11/2024	20025446
Hon.	Collins	Michael A.		P	GA10	2024	8/25/2024	20025729
Hon.	Collins	Michael A.		P	GA10	2024	11/7/2024	20026127
	Compton	William Dakota		C	KY02	2024	4/18/2024	10057759
Dr.	Conaway	Herb		C	NJ03	2024	5/15/2024	10061839
	Conforti	Niki		C	IL06	2024	5/13/2024	10060691
Hon.	Connolly	Gerald E.		P	VA11	2024	3/22/2024	20024728
Hon.	Connolly	Gerald E.		P	VA11	2024	7/5/2024	20025404
Hon.	Connolly	Gerald E.		P	VA11	2024	10/11/2024	20026009
	Conroy	Carmela		C	WA05	2024	10/24/2024	10063055
	Cook	Vaughn R.		C	UT04	2024	5/14/2024	10061335
	Cooke	Rebecca		C	WI03	2024	8/12/2024	10062721
	Cooper	David Charles		W	GA09	2024	4/30/2024	7952
	Cooper	Kelly		C	AZ04	2024	5/15/2024	10060928
	Cooper	Kelly		X	AZ04	2024	5/17/2024	30021651
	Cooper	Terri Kay		C	WA05	2024	5/11/2024	10060596
	Coplen	Rick		W	PA10	2024	5/14/2024	7967
	Corsetti	Todd Alan		D	ID02	2024	3/21/2024	40003616
	Corvi	Steven J.		A	RI02	2024	4/25/2024	10059152
	Corvi	Steven J.		C	RI02	2024	4/25/2024	10056993
	Cotter Smasal	Missy		C	VA02	2024	5/12/2024	10060625
	Coughlin	Kevin		C	OH13	2024	8/12/2024	10060610
	Coughlin	Kevin		X	OH13	2024	5/14/2024	30021516
	Cox	Amy		C	OH10	2024	5/12/2024	10060627
	Crabb	Vincent Darrell		C	TX25	2024	2/5/2024	10056719
	Craighill-Middleton	Anduin Elim		X	NC06	2024	5/17/2024	30022121
	Crandall	Terry Lawrence		C	CA47	2024	2/8/2024	10056748
	Crane	Elenore Casey		X	NH02	2024	6/26/2024	30022334
	Crane	Mike		C	GA03	2024	2/9/2024	10056756
Mr.	Crank	Jeff		C	CO05	2024	5/13/2024	10060579
	Craven	Michael Andrew		D	KY03	2024	4/17/2024	8220215
	Criswell	Jefferson Edward		C	GA06	2024	5/20/2024	10060096
	Crnkovich	Karen		C	KS03	2024	5/20/2024	10061932
	Cruz	Ginger		C	GU00	2024	7/1/2024	10057009
	Cruz	Ginger		X	GU00	2024	5/14/2024	30021425
Mr.	Cruz	Jerico Matias		C	IL05	2024	5/15/2024	10061518
Mr.	Cruz	Jerico Matias		X	IL05	2024	5/17/2024	30021943
	Cruz	Kimberly		W	NY06	2024	5/28/2024	7983
Mr.	Cuddy	Dave		C	TX35	2024	1/31/2024	8220148
	Cunningham	Candace L.		D	AZ03	2024	1/16/2024	40003584
Mrs.	Currey-Marsella	Renee Antoinette		C	FL14	2024	5/14/2024	10058808
	Dacosta Fasciglione	Joy		W	NY19	2024	6/6/2024	7985
	Dahan	Liz		C	FL13	2024	6/27/2024	10058998
	Dahan	Liz		X	FL13	2024	5/8/2024	30021135
	Dahlin	Kathryn W.		C	UT03	2024	3/27/2024	10056930
	Dahlstrom	Nancy		C	AK00	2024	4/30/2024	10059429
	Dansel	Brian		C	WA05	2024	7/16/2024	10062477
	Daughtry	Kelly		C	NC13	2024	2/2/2024	8220124
	Davey	Michael		C	FL27	2024	7/20/2024	10062451
	Davey	Michael		X	FL27	2024	5/15/2024	8220344
	Davey	Michael		X	FL27	2024	7/16/2024	30022385
	Davie	Matthew		C	OR05	2024	2/27/2024	10056831
	Davis	Devin Charles		C	LA02	2024	8/26/2024	10062819
	Davis	Lawrence John		C	CO01	2024	4/3/2024	10056961
	Davis	Thomas Eugene		A	TN04	2024	7/1/2024	10062376
	Davis	Thomas Eugene		C	TN04	2024	6/30/2024	10060974
	Davis	Thomas Eugene		X	TN04	2024	5/17/2024	30021669
	Daza-Fernandez	Antonio Miguel		C	GA11	2024	5/15/2024	10060242
	De Franceschi	Vladimir		C	TX26	2024	2/4/2024	10056698
	De Franceschi	Vladimir		X	TX26	2024	2/9/2024	8220138
	Deford	William Mac		C	SC01	2024	5/15/2024	10061611
	Delaney	April McClain		X	MD06	2024	5/14/2024	30021222
Hon.	DelBene	Suzan K.		P	WA01	2024	1/22/2024	20024317
Hon.	DelBene	Suzan K.		P	WA01	2024	2/5/2024	20024425
Hon.	DelBene	Suzan K.		P	WA01	2024	2/21/2024	20024495
Hon.	DelBene	Suzan K.		P	WA01	2024	3/8/2024	20024581
Hon.	DelBene	Suzan K.		P	WA01	2024	6/10/2024	20025178
Hon.	DelBene	Suzan K.		P	WA01	2024	6/20/2024	20025312
Hon.	DelBene	Suzan K.		P	WA01	2024	7/11/2024	20025379
Hon.	DelBene	Suzan K.		P	WA01	2024	8/6/2024	20025568
Hon.	DelBene	Suzan K.		P	WA01	2024	8/23/2024	20025705
Hon.	DelBene	Suzan K.		P	WA01	2024	9/9/2024	20025768
Hon.	DelBene	Suzan K.		P	WA01	2024	10/4/2024	20025940
Hon.	DelBene	Suzan K.		P	WA01	2024	11/7/2024	20026123
	Dellinger	Marcus		C	NC13	2024	7/27/2024	10062554
	Denton	Jake		C	VA02	2024	5/19/2024	10056774
	Denton	Jake		X	VA02	2024	2/21/2024	30019605
	DeSpain	Monique		A	OR04	2024	9/11/2024	10062900
	DeSpain	Monique		C	OR04	2024	5/2/2024	10057767
	Deters	Eric		C	KY04	2024	3/5/2024	10056867
	Deters	Eric		X	KY04	2024	2/7/2024	30019583
	Devoe	Marion		A	VA10	2024	3/26/2024	10056935
	Devoe	Marion		A	VA10	2024	4/14/2024	10057008
	Devoe	Marion		C	VA10	2024	1/28/2024	10056670
	Devoe	Marion		D	VA10	2024	2/1/2024	8220153
	Dexter	Maxine		C	OR03	2024	8/10/2024	10061606
	Dexter	Maxine		X	OR03	2024	5/17/2024	30022005
	Dickson	Gary A.		C	NY26	2024	5/15/2024	10061396
	Diehl	Abigdail		O	MD03	2024	4/12/2024	8220216
	Dimmock	Aaron		C	FL01	2024	5/13/2024	10060703
Hon.	Dingell	Debbie		P	MI06	2024	2/15/2024	20024270
Hon.	Dingell	Debbie		P	MI06	2024	5/16/2024	20025056
Hon.	Dingell	Debbie		P	MI06	2024	6/24/2024	20025306
Hon.	Dingell	Debbie		P	MI06	2024	11/9/2024	20026160
	Dixon	Peter		W	CA16	2024	4/23/2024	7941
	Dobson	Caroleene		C	AL02	2024	8/13/2024	10060576
	Dobson	Caroleene		X	AL02	2024	5/14/2024	30021507
Hon.	Doggett	Lloyd		P	TX37	2024	1/8/2024	20024268
Hon.	Doggett	Lloyd		P	TX37	2024	3/5/2024	20024611
Hon.	Doggett	Lloyd		P	TX37	2024	4/9/2024	20024839
Hon.	Doggett	Lloyd		P	TX37	2024	5/6/2024	20024997
Hon.	Doggett	Lloyd		P	TX37	2024	6/5/2024	20025202
Hon.	Doggett	Lloyd		P	TX37	2024	7/3/2024	20025397
Hon.	Doggett	Lloyd		P	TX37	2024	8/5/2024	20025592
Hon.	Doggett	Lloyd		P	TX37	2024	9/9/2024	20025822
Hon.	Doggett	Lloyd		P	TX37	2024	10/10/2024	20026002
Hon.	Doggett	Lloyd		P	TX37	2024	11/5/2024	20026151
	Doherty	Alexandra Jane		C	GA10	2024	5/14/2024	8220321
Hon.	Donalds	Byron		P	FL19	2024	11/7/2024	20026099
Hon.	Donalds	Byron		P	FL19	2024	11/8/2024	8220682
	Donnelly	Ryan		C	NH02	2024	5/1/2024	10059489
	Donnelly	Ryan		W		2024		8220308
	Dorris	Clint		W	TX12	2024	4/18/2024	7932
	Dougall	John		C	UT03	2024	3/21/2024	10056759
Dr.	Douglass	Eugene Farley		C	NC02	2024	4/18/2024	10057739
	Downing	Troy		C	MT02	2024	5/14/2024	10060588
	Draves	Mary Frances		C	MI08	2024	6/14/2024	10059957
	Draves	Mary Frances		X	MI08	2024	5/17/2024	30021673
	Dudley	Stephen Paul		C	TX14	2024	2/13/2024	10056772
Hon.	Duncan	Jeff		G	SC03	2024	6/18/2024	8220520
Hon.	Duncan	Jeff		P	SC03	2024	5/23/2024	20000788
	Dunlap	Harry William		C	FL12	2024	5/11/2024	10056865
	Dunn	Harry		C	MD03	2024	4/13/2024	10056829
Ms.	Dunn	Maria		A	TX18	2024	10/3/2024	10063000
Ms.	Dunn	Maria		C	TX18	2024	10/2/2024	10062995
Hon.	Dunn, MD, FACS	Neal Patrick		P	FL02	2024	5/22/2024	20025104
Hon.	Dunn, MD, FACS	Neal Patrick		P	FL02	2024	11/7/2024	20026140
	Edwards	Amanda		W	TX18	2024	4/18/2024	7929
Dr.	Edwards	Dana Phillip		C	KY05	2024	7/30/2024	10062562
Dr.	Edwards	Dana Phillip		X	KY05	2024	5/15/2024	8220351
	Ehasz	Ashley		C	PA01	2024	4/30/2024	10059070
Mr.	Ehr	Phil Charles		C	FL28	2024	6/17/2024	10061824
Mr.	Ehr	Phillip Charles		X	FL28	2024	5/17/2024	30022167
	Ekpete Kama	Uloma		A	LA02	2024	6/10/2024	10062183
	Ekpete Kama	Uloma		A	LA02	2024	6/11/2024	10062185
	Ekpete Kama	Uloma		A	LA02	2024	7/9/2024	10062210
	Ekpete Kama	Uloma		A	LA02	2024	8/4/2024	10062610
	Ekpete Kama	Uloma		C	LA02	2024	6/10/2024	10062182
Dr.	Ekpete Kama	Uloma Keysha		C	GA13	2024	3/22/2024	10056920
	Elfreth	Sarah Kelly		C	MD03	2024	6/14/2024	10062279
Mr.	Eller	Charles ivey		C	NC10	2024	1/29/2024	10056678
	Engel	Kirsten		C	AZ06	2024	8/9/2024	10059185
	Engel	Kirsten		X	AZ06	2024	4/30/2024	30020948
	Engling	Max		X	IN05	2024	5/17/2024	30021737
Dr.	Enoch	Vanessa		A	OH08	2024	10/31/2024	10063073
Dr.	Enoch	Vanessa		C	OH08	2024	10/31/2024	10063072
	Erickson	Mike		C	OR06	2024	4/3/2024	10056818
	Esposito	Alison		C	NY18	2024	5/11/2024	10060573
	Estrada	Rafael		W	IL17	2024	5/6/2024	7955
	Etchison	Shelane		X	NC09	2024	5/17/2024	30022164
Hon.	Evans	Dwight		P	PA03	2024	1/17/2024	20024324
	Evans	Jerry		C	IL11	2024	5/15/2024	10061410
Mr.	Evans	Richard		C	FL26	2024	8/13/2024	10062784
	Evans	Timothy Gabriel Joseph		C	CO08	2024	5/10/2024	10060509
	Fallick-Wang	Katrina		D	UT04	2024	1/23/2024	40003591
Dr.	Faparusi	Yomi Fapas		C	TN05	2024	6/9/2024	10062167
Dr.	Farber	Stuart		W	FL09	2024	5/17/2024	7977
	Farber	Stuart Dr		W	FL09	2024	5/10/2024	7959
	Farnham	Elizabeth Rhoads		C	PA13	2024	5/6/2024	10057760
	Fedorchak	Julie		C	ND00	2024	5/12/2024	10056853
Mr.	Fegler	Scott Michael		C	NJ06	2024	5/3/2024	10056962
	Ferguson	Rodney Stuart		C	VA10	2024	4/5/2024	10056959
	Fernandez	Hilsia Tatiana		C	FL07	2024	5/6/2024	10059854
	Fields	Cleo		C	LA06	2024	8/13/2024	10060316
	Fields	Cleo		X	LA06	2024	5/17/2024	30021885
	Figures	Shomari C.		C	AL02	2024	5/16/2024	10061872
	Filler	Peter Steven		C	TX02	2024	5/14/2024	10061263
	Filler-Corn	Eileen		X	VA10	2024	5/14/2024	30021412
	Finzer	Rylan Zachary		C	OH06	2024	3/5/2024	10056868
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	2/9/2024	8220147
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	5/15/2024	8220317
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	8/16/2024	8220617
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	11/12/2024	8220683
	Flora	Deborah		C	CO04	2024	8/13/2024	10059153
	Flora	Deborah		X	CO04	2024	4/30/2024	30020957
	Flora	John		D	NJ10	2024	6/12/2024	40003669
Hon.	Flores	Mayra Nohemi		C	TX34	2024	8/6/2024	10059585
Hon.	Flores	Mayra Nohemi		X	TX34	2024	5/8/2024	30021082
	Focht	Cyril Jason		C	TN06	2024	5/13/2024	10060214
	Fong	Vince		X	CA20	2024	4/30/2024	30020884
	Fore	Jessica Allison		C	GA10	2024	5/15/2024	10057717
	Forte	Tina		C	NY14	2024	5/6/2024	10059921
	Fox	Whitney		C	FL13	2024	8/13/2024	10062748
Hon.	Foxx	Virginia		P	NC05	2024	1/4/2024	20024230
Hon.	Foxx	Virginia		P	NC05	2024	2/5/2024	20024424
